date_time,temp
2023-06-03-18-13-48,20
2023-06-03-18-13-59,18 
2023-06-03-18-14-02,18 
2023-06-03-18-14-03,18 
2023-06-03-18-14-05,20 
2023-06-03-18-14-06,18 
2023-06-03-18-19-36,18 
2023-06-03-18-27-31,19 
2023-06-03-18-27-42,18 
2023-06-03-18-28-20,18 
2023-06-03-18-30-29,18 
2023-06-03-18-31-00,18 
2023-06-03-18-32-14,18 
2023-06-03-18-32-32,18 
2023-06-03-18-33-24,18 
2023-06-03-18-34-48,19 
2023-06-03-18-34-58,18 
2023-06-03-18-35-34,18 
2023-06-03-18-36-22,18 
2023-06-03-18-36-38,18 
2023-06-03-18-36-50,20 
2023-06-03-18-37-23,20 
2023-06-03-18-37-43,18 
2023-06-03-18-38-17,18 
2023-06-03-18-38-34,20 
2023-06-03-18-39-38,18 
2023-06-03-18-40-24,18 
2023-06-03-18-40-59,18 
2023-06-03-18-41-25,18 
2023-06-03-18-42-11,19 
2023-06-03-18-43-08,19 
2023-06-03-18-46-43,18 
2023-06-03-18-47-41,18 
2023-06-03-18-47-51,18 
2023-06-03-18-49-23,19 
2023-06-03-18-51-45,19 
2023-06-03-18-52-39,18 
2023-06-03-18-55-56,18 
2023-06-03-18-57-11,19 
2023-06-03-18-58-49,19 
2023-06-03-18-59-59,18 
2023-06-03-19-00-31,18 
2023-06-03-19-01-22,19 
2023-06-03-19-03-17,20 
2023-06-03-19-03-59,19 
2023-06-03-19-04-08,18 
2023-06-03-19-04-37,18 
2023-06-03-19-04-43,19 
